Toyota AE86 Tuned,482.924
Toyota AE86 Drift,485.308
Porsche Macan Turbo,485.759
Maserati Levante S,487.102
Toyota GT86,503.428
Maserati 250F 12 cylinder,506.135
Mazda MX5 ND,506.32
Maserati 250F 6 cylinder,517.865
Porsche 718 RS 60 Spyder,523.081
Toyota AE86,537.021
Mazda Miata NA,553.499
