Tatuus FA01,83.643
Toyota AE86,119.667
Toyota AE86 Drift,112.097
Toyota AE86 Tuned,106.115
Toyota Celica ST185 4WD Turbo,101.116
Toyota GT86,109.67
Toyota Supra MKIV,106.234
Toyota Supra MKIV Drift,103.033
Toyota Supra MKIV Time Attack,101.29
Toyota TS040 Hybrid 2014,75.64
