Tatuus FA01,145.324
Toyota AE86,200.919
Toyota AE86 Drift,nan
Toyota AE86 Tuned,177.426
Toyota Celica ST185 4WD Turbo,167.382
Toyota GT86,184.089
Toyota Supra MKIV,176.097
Toyota Supra MKIV Drift,167.468
Toyota Supra MKIV Time Attack,166.393
Toyota TS040 Hybrid 2014,125.593
