Tatuus FA01,115.4
Toyota AE86,158.623
Toyota AE86 Drift,nan
Toyota AE86 Tuned,140.621
Toyota Celica ST185 4WD Turbo,130.893
Toyota GT86,144.57
Toyota Supra MKIV,135.947
Toyota Supra MKIV Drift,nan
Toyota Supra MKIV Time Attack,126.57
Toyota TS040 Hybrid 2014,98.603
